id;created_at;full_text
1;2020-04-09 23:59:51+00:00;@KennyDegu very very little volume. With $10T you'd think they could have $SPX  trading at 10,000 by now.
2;2020-04-09 23:58:55+00:00;#ES_F achieved Target 2780 closing above 50% #Fibonacci  level, momentum still up. possible push towards 2842-2886 next week. $SPX $SPY  #tradign #futures https://t.co/wD2A0102nC
3;2020-04-09 23:58:52+00:00;RT @KimbleCharting: Silver/Gold indicator creates one of the largest bullish reversal patterns in decades while testing multi-decade suppor…
4;2020-04-09 23:58:27+00:00;@Issaquahfunds Hedged our $MSFT position into close. Seemed to be getting lazy over this past week.
5;2020-04-09 23:57:59+00:00;RT @zipillinois: 3 Surprisingly Controversial Stocks in Donald Trump's Portfolio @themotleyfool #stocks $GILD $MO https://t.co/d9hlJnSRN3
6;2020-04-09 23:57:33+00:00;"RT @Crypto____World: 🇿🇼ZIMBABWE🇿🇼

CRYPTO NEWS🌍

Government teams up with Apollo to launch national cryptocurrency🌍

#apollocurrency #crypt…"
7;2020-04-09 23:57:27+00:00;Pfizer Shares Acquired by Ipswich Investment Management $PFE https://t.co/gqXxIbbxIS
10;2020-04-09 23:57:08+00:00;"RT @NorthmanTrader: I repeat: The Fed is recklessly distorting everything.
$JNK $SPX https://t.co/fDHaY5MKUW"
12;2020-04-09 23:57:01+00:00;"S&amp;P 500 | $SPX | $SPX500 $USD

long term from 1940

Long or short it with BTC on Trade8: https://t.co/Yn1Wyxwotl https://t.co/TU21nc1eA5"
13;2020-04-09 23:56:58+00:00;"RT @TDANetwork: 📽️ #TheWatchList panel assesses the big questions $AAPL will face over the next 6 months. 🍎📱

@LanceUlanoff and @mattswider…"
14;2020-04-09 23:56:51+00:00;"$UMRX bouncing. EXTREMELY OVERSOLD #Coronavirus💸
$DECN $OPGN $CODX $HTBX $TNXP $BA $APRN $JNUG $PCTL $BIEI $AAPL $NBY $UBER $WTRH $NOVN $TSLA $XSPA $INO $ASTC $MRNA $GPMT $SPXS $SPY $QQQ $NUGT $BURG $VXRT $TVIX $IBIO $ACB $TLRY $CLIR $BKYI $TOPS $NVAX $GME $TTOO $AYTU $TNXP💸📈 https://t.co/1R1e8PlfMw"
15;2020-04-09 23:56:43+00:00;"RT @cloudymeadows: Somebody needs to have an adult conversation with Sen.Kevin Cramer (R-ND) &amp; tell that asshole to his face that it’s not…"
16;2020-04-09 23:56:39+00:00;Editor's Choice: Three Deals Needed ahead of Holiday Weekend  @marcmakingsense $FXY $FXA $SPX $OIL $FXB $ACWI $FXE https://t.co/ozXzTbD8dM
17;2020-04-09 23:56:25+00:00;I can't stand this #Facebook commercial that keeps replaying on the @CNBC app. Such a phony company... $FB.
18;2020-04-09 23:56:14+00:00;If they have ‘em you should too. Stocks to own. #warrenbuffet #billgates #kevinoleary #mrwonderful #stocks #stockmarket #investing https://t.co/vIEzRQPx5c
19;2020-04-09 23:55:42+00:00;Treasury Secretary Mnuchin says US could be open for business in May from @CNBC $spx $ndx $biib $mrna $bntx $amzn $cost $wmt $gild https://t.co/eup9IRFyVZ
20;2020-04-09 23:55:40+00:00;Analysts Anticipate Progressive Corp $PGR to Announce $1.46 Earnings Per Share https://t.co/rOgsbz1Ra1 #stocks
21;2020-04-09 23:55:39+00:00;$0.59 EPS Expected for NRG Energy Inc $NRG This Quarter https://t.co/IKsTtscLrU #stocks
22;2020-04-09 23:55:38+00:00;Brokerages Expect Drive Shack Inc $DS Will Announce Earnings of -$0.06 Per Share https://t.co/VPXpnacdqe #stocks
23;2020-04-09 23:55:35+00:00;Analysts Anticipate Boston Private Financial Hldg Inc $BPFH to Post $0.16 Earnings Per Share https://t.co/jMcGVT0Hfn #stocks
24;2020-04-09 23:55:34+00:00;Zacks: Brokerages Anticipate Fastenal $FAST Will Post Earnings of $0.34 Per Share https://t.co/mloI4GRLE7 #stocks
25;2020-04-09 23:55:33+00:00;Brokerages Expect Agilent Technologies Inc $A to Announce $0.60 Earnings Per Share https://t.co/pvqnqfKufn #stocks
26;2020-04-09 23:55:33+00:00;Centurylink Inc $CTL Expected to Announce Earnings of $0.36 Per Share https://t.co/Jpt9cKDxDY #stocks
27;2020-04-09 23:55:31+00:00;Zacks: Brokerages Anticipate CVB Financial Corp. $CVBF to Post $0.32 Earnings Per Share https://t.co/sVuLkKuUg6 #stocks
